"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90"
"11",0,28.8524590163905,0,0.00100782507658092,0.000654394625886328,0.000843333873947564,0.222520199493633,0.21237522468077,0.200459916601036,0.189708535426227,0.179062100266589,0.166568228644221,0.151409856849612,0.134129291290471,0.116000782109689,0.0983435401480842,0.0821331623816113,0.067904365819135,0.0558157048317399,0.0457684895299581,0.0375223050397819,0.0307844700388902,0.0252688642961535,0.0207277758631548,0.0169634702847432,0.0138265484973606,0.0112072519159446,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"12",1,3.22131147540985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",0,24.42076502732,1,0.0187863511795007,0.0120160810869288,0.0154558946909715,0.61557408079433,0.518545557173785,0.415196702286612,0.332024246104072,0.272413620134485,0.229613135113896,0.196567355396881,0.168777110762565,0.144000408038697,0.121433057375203,0.10103872088684,0.0830528169009999,0.0676575941287078,0.0548361792096666,0.0443716472077972,0.0359235621754283,0.0291176938269363,0.023611329456174,0.0191244550799627,0.015443952873222,0.0124130712283343,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"14",0,60.7732240437464,1,0.00513242062308529,0.00332945728327593,0.00429945136655261,0.183537606274725,0.27022610315251,0.342126900765013,0.379558985164126,0.38312670215536,0.36120837987299,0.324091182515068,0.280844429432197,0.237658233792779,0.197803246895602,0.162536918107523,0.132075313737225,0.106212070924951,0.0845907635413798,0.0667879457989998,0.0523370009052758,0.0407510618110243,0.0315534183363599,0.0243059472229448,0.0186272424061532,0.0141986104247629,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"15",0,8.11748633879736,0,0.00181600622591267,0.00117964028427316,0.00152171901416589,0.192847124158646,0.246509715050337,0.259661862101681,0.238758571202035,0.203746818584546,0.168478181203025,0.138758892351311,0.115409658829984,0.0970888425490438,0.0820623665217741,0.0690439848630022,0.057382234096123,0.0469049766598508,0.037672426763719,0.0297793370573782,0.0232496447928735,0.0180102757548378,0.0139114288677663,0.0107633893796829,0.00837086652121264,0.00655662262841811,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",0,1.54918032786883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",0,26.7295081967186,1,0.0559563356092197,0.0346554390487795,0.0446206258101027,0.871921372599068,0.816668656035635,0.69354885757283,0.558571822434084,0.444586424574419,0.361063890606515,0.303809319267668,0.263583581892145,0.232027143778041,0.204061651044805,0.177658041794819,0.152596819911181,0.129334878325107,0.108346974230413,0.0898795716584012,0.0739385224392384,0.0603654025640374,0.0489217219126081,0.0393493403430779,0.0314027548073792,0.0248604275911448,2,3,0,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"18",0,78.6038251366257,1,0.000360240852673998,0.000233943925146221,0.000301396629742829,0.437470950364648,0.405141173088414,0.366892920819497,0.328094863977902,0.291299134063197,0.257282505100759,0.22585918744076,0.196679758907822,0.169698383832343,0.145187537177978,0.12347834399828,0.104701191828022,0.0886918953431848,0.075065529744128,0.0633655890433748,0.0531935588029294,0.0442716680742027,0.0364408073466507,0.0296214766675441,0.0237675777322008,0.0188318666884792,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
"19",0,76.0163934426403,0,0.131116199494385,0.0731835846569416,0.0942160952757739,1.44513407463437,1.30079805087858,1.13946241983817,0.990311840140804,0.85845287098929,0.740214847669493,0.632291891470402,0.533537897952957,0.443953717780502,0.36377801183908,0.293187445601725,0.232243897238476,0.180823823085347,0.138520560133277,0.1046025248767,0.0780660519273469,0.0577554264031431,0.0424963968969343,0.0312017141969097,0.0229327955541813,0.016921459459729,1,2,2,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"20",0,77.1666666666824,1,0.00749795613428345,0.00484455496129265,0.00624149791120333,0.493463557854588,0.493138162975599,0.462161767758791,0.416536685615861,0.367070906887389,0.318393626392658,0.272542493918425,0.230516798628606,0.192702891333328,0.15911165748293,0.129596603996435,0.103989621091317,0.0821305708387493,0.0638335152181407,0.0488473434173818,0.0368436698303668,0.027434455952808,0.0202055766765058,0.0147512520979363,0.0107002258133949,0.00773098640608965,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
