"","time_t1[[11]]"
"103",0.010319514956883
"104",0.0717019435730596
"105",0.00216173537138124
"106",0.000872140362229531
"107",0
"108",0.0258642080670332
"109",0
"110",0.00422135439577261
"111",0.0105495010552559
"112",0.0216143492807178
"113",0.0047535618558096
"114",0.0146834459846241
"115",0.0107867281477759
"116",1.71660201741356e-07
"117",0.00493179053097848
"118",0.0205575874987618
"119",0.0266478743324087
"120",0.0559855404765153
"121",0.00128933140113615
"122",0.00944631837854889
"123",0
"124",0.000243053893493201
"125",0.0806351321234489
"126",0.00244657427662427
"127",0.0651153267035001
"128",0.00527133639187482
"129",0.00429095091502133
"130",1.73224617766628e-05
"131",0.00633899928203703
"132",0.0533488566399436
"133",0.0102602271067347
"134",0
"135",0.00255511193628777
"136",0.00924809618749748
"137",0.0031565547155061
"138",0.0011809799207248
"139",0.0625642538091321
"140",2.07536968325341e-05
"141",0
"142",0.00205789059255342
"143",0
"144",0
"145",0
"146",1.67300695881876e-05
"147",0
"148",0
"149",0.070005956843763
"150",0.0775212850475678
"151",0.00575115265592423
"152",0
"153",0.251126078355549
"154",2.1111119662534e-05
"155",0.000627264400218154
"156",0
"157",0.000358315286742744
"158",0.000277923866017791
"159",0.0920516655056105
"160",0.000540285394925673
"161",0.012433860354739
"162",0.245275980030416
"163",0
"164",0.00633507892519129
"165",0.0459222515694282
"166",0.0167104217191362
"167",0
"168",0.016165785038326
"169",0.0233706066861251
"170",0.000748539878336755
"171",0.0037247237170638
"172",0.00755229253089953
"173",0.0775945052260161
"174",0
"175",0.00105231862891112
"176",0.0451396393798094
"177",0.0163791889918965
"178",0.0435021420551136
"179",0.000232590771009473
"180",2.62144488613175e-08
"181",0.0933327481661131
"182",0.0295692823592639
"183",0.0812707915519788
"184",0.0399286826687143
"185",0.0200094122187174
"186",0.235217507823227
"187",0.0115010577090235
"188",0.00428721873646893
"189",0.000974595397726112
"190",0.00719811812918442
"191",0
"192",0.00136361626523777
"193",0.000707548825378078
"194",0.153952955352791
"195",0
"196",0.0152769368425324
"197",0.00443921109513056
"198",0.0271440681462433
"199",0.000516600083850227
"200",0.000652892095662656
"201",0.000896327070811063
"202",0
"203",0.00091366186854268
"204",0.0268340290203762
"205",0.00256675545480448
"206",6.09999410006378e-07
"207",0.0501972039022304
"208",0.00686336357443147
"209",0.0538234544123198
"210",0.000266872363746636
"211",0.0163097437839984
"212",0.0225482111951384
"213",0.00550656661638271
"214",0.0675578717306674
"215",0.0300294787366432
"216",0.0628388970768737
"217",0
"218",0.000373766162928368
