"","time_t2[[11]]"
"176",0.0451444699559236
"177",0.0163837422776451
"178",0.0435475271612305
"179",0.000233566697970187
"180",2.62257381330642e-08
"181",0.093348474724894
"182",0.029556832877423
"183",0.0812385242581755
"184",0.0399303103601124
"185",0.0199958029805363
"186",0.235220365105093
"187",0.0115077938665954
"188",0.00428961762780827
"189",0.000975782362116136
"190",0.0072029116562212
"191",0
"192",0.0013653706656693
"193",0.00070951008862859
"194",0.15390866992761
"195",0
"196",0.0152966177654863
"197",0.00442521006993992
"198",0.0271847917076105
"199",0.000516987388209474
"200",0.000653624125160502
"201",0.000897134413888378
"202",0
"203",0.000913141052272632
"204",0.0268243369719415
"205",0.00256972044033836
"206",6.10478526055446e-07
"207",0.0501554393254411
"208",0.00688080193988181
"209",0.0538348432117618
"210",0.000267115963733368
"211",0.0163110297682913
"212",0.022585644076864
"213",0.00551196155595008
"214",0.0675378530776779
"215",0.0300349153895941
"216",0.0628606211171246
"217",0
"218",0.000372907655815254
"219",0.0143139208572092
"220",1.26787973463301e-07
"221",0.0133905817843196
"222",0.0663526888498432
"223",0.00376329382601134
"224",0.00291269752876011
"225",0.0216442487011905
"226",0.00313746734453762
"227",3.19764050511155e-06
"228",0.00172232639322286
"229",0.00347183862397994
"230",0.000170415841029256
"231",0.00148920392620598
"232",0.0270490734633103
"233",0.141854722225251
"234",0.0249539142978374
"235",0
"236",0.23827867395526
"237",0.155548471461295
"238",3.40671630855692e-06
"239",0.00289162766873158
"240",4.17125941808823e-05
"241",0.241286137210272
"242",0.0224359957273139
"243",0.0165025260152061
"244",3.70320389377227e-05
"245",0.0294423965825029
"246",0
"247",2.01329873659989e-06
"248",0.00101304887319218
"249",0.0003812186692886
"250",0
"251",0.00269544360119579
"252",0.00536483644748797
"253",0.000778148261179061
"254",0.0028248827868745
"255",0.000299748897190697
"256",1.11793118437731e-05
"257",3.29413332574506e-05
"258",0.0124625178951825
"259",0
"260",0.00365552207224897
"261",0.00450310501579691
"262",0.143232124537279
"263",0.000755581976979934
"264",0.00805643349106294
"265",0
"266",0.00686573093670285
"267",0.000269784200409513
"268",0.000755653840252082
"269",0.000114243236679373
"270",0.00110978001707669
"271",0.000420597641418929
"272",0
"273",0.00422227645377824
"274",0.00021036063152201
"275",0.000451251589832493
"276",0.052147899307029
"277",0
"278",0.00215409926436664
"279",0.0874976602922975
"280",0.0270871428470663
"281",0.00947448448178936
"282",0
"283",0.0563485334908324
"284",0
"285",0.139055977543108
"286",0.00168838977950964
"287",0
"288",0.000608702357824654
"289",0
"290",0.00119539103144556
"291",0.011307817579973
"292",0.0208921045677431
"293",0.0253055281129818
"294",0.00207260886846198
"295",0.082797569489973
"296",0.0835594530721459
"297",0.000199556628406331
"298",0.0511350702483128
"299",0
"300",0.0109737495854294
"301",4.7420774577308e-05
"302",0.017245375246957
"303",0.0245353641854387
"304",0
"305",0.0258134173790049
"306",0.000914115747928182
"307",0.0706929344747726
"308",0.0322802096352622
"309",0.00556345850445986
"310",0.00727547539142432
"311",8.65025870420637e-05
"312",0.0299101843034608
"313",0.22328862483443
"314",0
"315",0.00621857022643946
"316",0.0163628876662576
"317",0.0399495411572879
"318",0.124665448287893
"319",0.0968773131956758
"320",0.00951996285537299
"321",0.00314186051836097
"322",9.38187211912377e-05
"323",0.00277496171986543
"324",0.0518404678183323
"325",0.0176731575984858
"326",0
"327",0.00630853748619293
"328",0.168347194104083
"329",0.00457545911913048
"330",0.0128447213949037
"331",0.0334018180648259
"332",1.63200738845634e-07
"333",0.0623378308115082
"334",0.0089438415690056
"335",0.0034642019833419
"336",0.011223187539374
"337",0.00784124169629394
"338",0.110404971436638
"339",0.0183092677025326
"340",0
"341",0.00553337288420364
"342",0.0157717371395217
"343",0
"344",0.246691875016148
"345",0.000559654835332365
"346",0.000519672947513053
"347",0.0137442507310857
"348",0.00369718246731034
