"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90"
"11",0,28.8551912568276,0,0.00100697925414851,0.000653843223617081,0.00084262123481544,0.222989014430859,0.212218232534715,0.200239376266753,0.18940191376105,0.178716587350478,0.166249723721476,0.151160052171808,0.133957335772426,0.115893875807116,0.0982809800082374,0.0820956862860663,0.067877985770143,0.0557920863537111,0.0457438274486211,0.037495820477048,0.0307570441046778,0.0252420002088649,0.0207029219847072,0.0169416610537542,0.0138082893435733,0.0111925667056475,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"12",1,3.22404371584701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",0,24.4234972677571,1,0.0188065011822156,0.0120288156662369,0.0154723230946417,0.616115772990425,0.519748831533133,0.416466751684174,0.332899915309984,0.272840534800994,0.229735196280887,0.196536234526856,0.168693330993079,0.143917529391927,0.121372571132277,0.10100254188498,0.0830333296047334,0.06764522542873,0.0548238066985552,0.044355956053989,0.0359043874434033,0.0290966018331294,0.0235903261065746,0.0191051921510042,0.0154274272824055,0.0123996486693927,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"14",0,60.7759562841836,1,0.0051176297785908,0.0033199047172867,0.00428712476588485,0.182148511088502,0.267839463560287,0.339725859776533,0.377651984147354,0.381809341312601,0.360404163766652,0.323658931463161,0.280639310860562,0.237571771971479,0.197772579611708,0.162532625058943,0.13208508549465,0.10622981024599,0.084612069602691,0.0668092917282813,0.0523560258442282,0.0407667027164078,0.0315656463590023,0.0243153134604102,0.0186344666105473,0.0142043256975103,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"15",0,8.12021857923452,0,0.00181268812733669,0.00117748904923146,0.00151894577622181,0.191484929830536,0.244890643388824,0.258748703647631,0.238534454891048,0.203856079024167,0.168652507765635,0.138877127928982,0.115447691390961,0.0970683945357309,0.0820165761343298,0.0689991376020178,0.057352001202224,0.0468921101742062,0.0376732253799522,0.0297878726729261,0.0232605101790788,0.0180197930061352,0.0139177784753309,0.010766192816054,0.00837062048933601,0.00655420581330271,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",0,1.55191256830599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",0,26.7322404371558,1,0.0559601886048564,0.0346576977204327,0.0446235462352746,0.870471469389245,0.816421570705705,0.694583478211643,0.559936441434364,0.445649563978453,0.361611644489008,0.303896772539864,0.263383107798891,0.231710141137148,0.203741669750684,0.177387111151115,0.152385965762639,0.129176039047604,0.10822729447414,0.0897879649257689,0.0738673480083722,0.0603099201407892,0.0488789644666564,0.0393171651380345,0.031379293345781,0.0248438891887358,2,3,0,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"18",0,78.6065573770628,1,0.000360048370908215,0.000233818448838669,0.000301234318385924,0.437468201416264,0.405126614617886,0.36685014590146,0.328007954977532,0.291164381972007,0.257113430472381,0.225679827265531,0.196511833921929,0.169552100122954,0.145061036654448,0.123363654725329,0.10459119700342,0.0885842273483156,0.0749625668146785,0.0632720837921034,0.0531139436657272,0.0442083516599719,0.0363937673796607,0.0295887860313299,0.0237463028138853,0.0188188979041235,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
"19",0,76.0191256830774,0,0.131148597308866,0.0731972731159977,0.0942337238609355,1.44548630307057,1.30164132382323,1.14026351672697,0.990752729420185,0.858569683165035,0.74017529264758,0.63222744403176,0.533512185454578,0.443987610576802,0.363872439495048,0.293332653993348,0.232422847457622,0.181015977445619,0.138706629224399,0.104768229480295,0.0782035923896169,0.0578628366874884,0.0425757836436124,0.0312573597000776,0.0229696789755623,0.0169443371892399,1,2,2,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"20",0,77.1693989071195,1,0.0074937504438559,0.00484185281782238,0.00623801712626651,0.492479147230936,0.492263526196697,0.461730259380515,0.416346655545856,0.366969096659137,0.318328760860524,0.27250006502026,0.230491624895231,0.192694115408812,0.159120583313163,0.129623785441754,0.104032894412505,0.0821850544043083,0.0638930184597507,0.0489060323447483,0.0368971797517375,0.0274802497233031,0.0202427468639073,0.0147800689150815,0.0107216596089994,0.00774631955514402,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
"21",0,65.459016393475,1,0.00113215888908761,0.00073586704644333,0.000949368317796505,0.324493632212319,0.333139674425536,0.330184995692074,0.323884548487658,0.310279958695572,0.288289822656097,0.25990832151377,0.228247772996251,0.196177004812558,0.165761230391729,0.138197054809161,0.113983380542149,0.0931610145311422,0.0755227086097375,0.0607551159951153,0.0485164678846064,0.0384715324021902,0.0303049185531724,0.023726074428078,0.0184719497396244,0.0143088854678434,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"22",0,18.494535519124,1,0.00022572013260238,0.000146759772942345,0.000189282415469482,0.181929783293128,0.20271936575769,0.196983290125893,0.178952027365729,0.158183778129424,0.138087108521837,0.119616582208328,0.102984144073542,0.0881372514344106,0.0749235589808776,0.0631935173894073,0.0528529974408727,0.0438588178688589,0.0361783901694855,0.0297477895769077,0.0244523463845244,0.0201342040244535,0.0166166469074092,0.0137309076562584,0.0113351593094027,0.00932212438299664,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",0,3.49726775956287,0,0.0204090818478673,0.0130365096163014,0.0167672404218984,0.279602717399929,0.258295808353436,0.231744465032631,0.202336821580561,0.171288438124113,0.13980633149901,0.109422783736573,0.0817907158507667,0.0582527935097642,0.0395077374610939,0.025537508553369,0.0157678745114998,0.00933385777534885,0.00532607532590942,0.00295221366972879,0.00160589777014102,0.000867851108316563,0.00047175077610963,0.000260314062326325,0.000146204821976901,8.31949327674512e-05,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
